timestamp,tick,tipo_evento,payload_json
2026-06-09T03:28:22.075290+00:00,2,movimiento,"{""robot_id"": 0, ""x"": 1, ""y"": 0, ""z"": 0}"
2026-06-09T03:28:22.075290+00:00,2,movimiento,"{""robot_id"": 1, ""x"": 1, ""y"": 1, ""z"": 0}"
2026-06-09T03:28:22.075290+00:00,2,kpi_update,"{""tick"": 1, ""kpis"": {""TSP"": 0.0, ""TPCP"": 0.0, ""MTRP"": 0.0, ""IOG"": 6.25, ""TR"": 0.0, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:28:22.078292+00:00,3,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 0, ""z"": 0}"
2026-06-09T03:28:22.078292+00:00,3,caja_recuperada,"{""robot_id"": 1, ""id_caja"": ""C002"", ""id_sku"": ""SKU002"", ""x"": 1, ""y"": 1, ""z"": 0}"
2026-06-09T03:28:22.078292+00:00,3,kpi_update,"{""tick"": 2, ""kpis"": {""TSP"": 0.0, ""TPCP"": 0.0, ""MTRP"": 0.0, ""IOG"": 3.125, ""TR"": 0.5, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:28:22.080294+00:00,4,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 1, ""z"": 0}"
2026-06-09T03:28:22.080294+00:00,4,movimiento,"{""robot_id"": 1, ""x"": 0, ""y"": 1, ""z"": 0}"
2026-06-09T03:28:22.080294+00:00,4,kpi_update,"{""tick"": 3, ""kpis"": {""TSP"": 0.0, ""TPCP"": 0.0, ""MTRP"": 0.0, ""IOG"": 3.125, ""TR"": 0.3333333333333333, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:28:22.081725+00:00,5,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 2, ""z"": 0}"
2026-06-09T03:28:22.081725+00:00,5,pedido_completado,"{""robot_id"": 1, ""id_pedido"": ""P002"", ""id_sku"": ""SKU002"", ""ticks"": 3}"
2026-06-09T03:28:22.081725+00:00,5,kpi_update,"{""tick"": 4, ""kpis"": {""TSP"": 50.0, ""TPCP"": 3.0, ""MTRP"": 7.0, ""IOG"": 3.125, ""TR"": 0.25, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:28:22.081725+00:00,6,caja_recuperada,"{""robot_id"": 0, ""id_caja"": ""C001"", ""id_sku"": ""SKU001"", ""x"": 2, ""y"": 2, ""z"": 0}"
2026-06-09T03:28:22.081725+00:00,6,kpi_update,"{""tick"": 5, ""kpis"": {""TSP"": 50.0, ""TPCP"": 3.0, ""MTRP"": 8.0, ""IOG"": 0.0, ""TR"": 0.4, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:28:22.082737+00:00,7,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 3, ""z"": 0}"
2026-06-09T03:28:22.082737+00:00,7,kpi_update,"{""tick"": 6, ""kpis"": {""TSP"": 50.0, ""TPCP"": 3.0, ""MTRP"": 9.0, ""IOG"": 0.0, ""TR"": 0.3333333333333333, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:28:22.083736+00:00,8,pedido_completado,"{""robot_id"": 0, ""id_pedido"": ""P001"", ""id_sku"": ""SKU001"", ""ticks"": 6}"
2026-06-09T03:28:22.083736+00:00,8,kpi_update,"{""tick"": 7, ""kpis"": {""TSP"": 100.0, ""TPCP"": 4.5, ""MTRP"": 4.5, ""IOG"": 0.0, ""TR"": 0.2857142857142857, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.045606+00:00,2,movimiento,"{""robot_id"": 0, ""x"": 1, ""y"": 0, ""z"": 0}"
2026-06-09T03:39:36.045606+00:00,2,movimiento,"{""robot_id"": 1, ""x"": 1, ""y"": 1, ""z"": 0}"
2026-06-09T03:39:36.045606+00:00,2,kpi_update,"{""tick"": 1, ""kpis"": {""TSP"": 0.0, ""TPCP"": 0.0, ""MTRP"": 0.0, ""IOG"": 6.25, ""TR"": 0.0, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.049147+00:00,3,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 0, ""z"": 0}"
2026-06-09T03:39:36.049147+00:00,3,caja_recuperada,"{""robot_id"": 1, ""id_caja"": ""C002"", ""id_sku"": ""SKU002"", ""x"": 1, ""y"": 1, ""z"": 0}"
2026-06-09T03:39:36.049147+00:00,3,kpi_update,"{""tick"": 2, ""kpis"": {""TSP"": 0.0, ""TPCP"": 0.0, ""MTRP"": 0.0, ""IOG"": 3.125, ""TR"": 0.5, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.049147+00:00,4,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 1, ""z"": 0}"
2026-06-09T03:39:36.049147+00:00,4,movimiento,"{""robot_id"": 1, ""x"": 0, ""y"": 1, ""z"": 0}"
2026-06-09T03:39:36.049147+00:00,4,kpi_update,"{""tick"": 3, ""kpis"": {""TSP"": 0.0, ""TPCP"": 0.0, ""MTRP"": 0.0, ""IOG"": 3.125, ""TR"": 0.3333333333333333, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.051657+00:00,5,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 2, ""z"": 0}"
2026-06-09T03:39:36.051657+00:00,5,pedido_completado,"{""robot_id"": 1, ""id_pedido"": ""P002"", ""id_sku"": ""SKU002"", ""ticks"": 3}"
2026-06-09T03:39:36.051657+00:00,5,kpi_update,"{""tick"": 4, ""kpis"": {""TSP"": 50.0, ""TPCP"": 3.0, ""MTRP"": 7.0, ""IOG"": 3.125, ""TR"": 0.25, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.052174+00:00,6,caja_recuperada,"{""robot_id"": 0, ""id_caja"": ""C001"", ""id_sku"": ""SKU001"", ""x"": 2, ""y"": 2, ""z"": 0}"
2026-06-09T03:39:36.052174+00:00,6,kpi_update,"{""tick"": 5, ""kpis"": {""TSP"": 50.0, ""TPCP"": 3.0, ""MTRP"": 8.0, ""IOG"": 0.0, ""TR"": 0.4, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.057448+00:00,7,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 3, ""z"": 0}"
2026-06-09T03:39:36.057448+00:00,7,kpi_update,"{""tick"": 6, ""kpis"": {""TSP"": 50.0, ""TPCP"": 3.0, ""MTRP"": 9.0, ""IOG"": 0.0, ""TR"": 0.3333333333333333, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.057448+00:00,8,pedido_completado,"{""robot_id"": 0, ""id_pedido"": ""P001"", ""id_sku"": ""SKU001"", ""ticks"": 6}"
2026-06-09T03:39:36.057448+00:00,8,kpi_update,"{""tick"": 7, ""kpis"": {""TSP"": 100.0, ""TPCP"": 4.5, ""MTRP"": 4.5, ""IOG"": 0.0, ""TR"": 0.2857142857142857, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.227886+00:00,2,movimiento,"{""robot_id"": 0, ""x"": 1, ""y"": 0, ""z"": 0}"
2026-06-09T03:39:36.227886+00:00,2,movimiento,"{""robot_id"": 1, ""x"": 1, ""y"": 1, ""z"": 0}"
2026-06-09T03:39:36.227886+00:00,2,kpi_update,"{""tick"": 1, ""kpis"": {""TSP"": 0.0, ""TPCP"": 0.0, ""MTRP"": 0.0, ""IOG"": 6.25, ""TR"": 0.0, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.229895+00:00,3,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 0, ""z"": 0}"
2026-06-09T03:39:36.229895+00:00,3,caja_recuperada,"{""robot_id"": 1, ""id_caja"": ""C002"", ""id_sku"": ""SKU002"", ""x"": 1, ""y"": 1, ""z"": 0}"
2026-06-09T03:39:36.229895+00:00,3,kpi_update,"{""tick"": 2, ""kpis"": {""TSP"": 0.0, ""TPCP"": 0.0, ""MTRP"": 0.0, ""IOG"": 3.125, ""TR"": 0.5, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.229895+00:00,4,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 1, ""z"": 0}"
2026-06-09T03:39:36.229895+00:00,4,movimiento,"{""robot_id"": 1, ""x"": 0, ""y"": 1, ""z"": 0}"
2026-06-09T03:39:36.229895+00:00,4,kpi_update,"{""tick"": 3, ""kpis"": {""TSP"": 0.0, ""TPCP"": 0.0, ""MTRP"": 0.0, ""IOG"": 3.125, ""TR"": 0.3333333333333333, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.231403+00:00,5,movimiento,"{""robot_id"": 0, ""x"": 2, ""y"": 2, ""z"": 0}"
2026-06-09T03:39:36.231403+00:00,5,pedido_completado,"{""robot_id"": 1, ""id_pedido"": ""P002"", ""id_sku"": ""SKU002"", ""ticks"": 3}"
2026-06-09T03:39:36.231403+00:00,5,kpi_update,"{""tick"": 4, ""kpis"": {""TSP"": 50.0, ""TPCP"": 3.0, ""MTRP"": 7.0, ""IOG"": 3.125, ""TR"": 0.25, ""TI"": 0.0, ""TBR"": 0.0}}"
2026-06-09T03:39:36.231403+00:00,6,caja_recuperada,"{""robot_id"": 0, ""id_caja"": ""C001"", ""id_sku"": ""SKU001"", ""x"": 2, ""y"": 2, ""z"": 0}"
2026-06-09T03:39:36.231403+00:00,6,kpi_update,"{""tick"": 5, ""kpis"": {""TSP"": 50.0, ""TPCP"": 3.0, ""MTRP"": 8.0, ""IOG"": 0.0, ""TR"": 0.4, ""TI"": 0.0, ""TBR"": 0.0}}"
